Symbol;Name;MarketCap;IPOyear;Sector;industry
PIH;1347 Property Insurance Holdings, Inc.;$43.55M;2014;Finance;Property-Casualty Insurers
TURN;180 Degree Capital Corp.;$52.6M;n/a;Finance;Finance/Investors Services
FLWS;1-800 FLOWERS.COM, Inc.;$610.88M;1999;Consumer Services;Other Specialty Stores
FCCY;1st Constitution Bancorp (NJ);$137.99M;n/a;Finance;Savings Institutions
SRCE;1st Source Corporation;$1.26B;n/a;Finance;Major Banks
VNET;21Vianet Group, Inc.;$502.16M;2011;Technology;Computer Software: Programming, Data Processing
TWOU;2U, Inc.;$2.36B;2014;Technology;Computer Software: Prepackaged Software
JOBS;51job, Inc.;$3.39B;2004;Technology;Diversified Commercial Services
CAFD;8point3 Energy Partners LP;$1.14B;2015;Public Utilities;Electric Utilities: Central
EGHT;8x8 Inc;$1.23B;n/a;Public Utilities;Telecommunications Equipment
AVHI;A V Homes, Inc.;$342.45M;n/a;Capital Goods;Homebuilding
SHLM;A. Schulman, Inc.;$788.18M;1972;Basic Industries;Major Chemicals
AAON;AAON, Inc.;$1.85B;n/a;Capital Goods;Industrial Machinery/Components
ABAX;ABAXIS, Inc.;$1.06B;1992;Capital Goods;Industrial Machinery/Components
ABEO;Abeona Therapeutics Inc.;$324.05M;n/a;Health Care;Major Pharmaceuticals
ABEOW;Abeona Therapeutics Inc.;n/a;n/a;Health Care;Major Pharmaceuticals
ABIL;Ability Inc.;$17.13M;2014;Finance;Business Services
ABMD;ABIOMED, Inc.;$6.66B;n/a;Health Care;Medical/Dental Instruments
AXAS;Abraxas Petroleum Corporation;$278.55M;n/a;Energy;Oil & Gas Production
ACIU;AC Immune SA;$381.38M;2016;Health Care;Major Pharmaceuticals
ACIA;Acacia Communications, Inc.;$1.75B;2016;Technology;Semiconductors
ACTG;Acacia Research Corporation;$177.06M;n/a;Miscellaneous;Multi-Sector Companies
ACHC;Acadia Healthcare Company, Inc.;$4.62B;n/a;Health Care;Medical Specialities
ACAD;ACADIA Pharmaceuticals Inc.;$3.75B;2004;Health Care;Major Pharmaceuticals
ACST;Acasti Pharma, Inc.;$18.98M;n/a;Health Care;Major Pharmaceuticals
AXDX;Accelerate Diagnostics, Inc.;$1.39B;n/a;Capital Goods;Biotechnology: Laboratory Analytical Instruments
ACCP;Accelerated Pharma, Inc.;n/a;n/a;Health Care;Major Pharmaceuticals
ACCPW;Accelerated Pharma, Inc.;n/a;n/a;Health Care;Major Pharmaceuticals
XLRN;Acceleron Pharma Inc.;$1.38B;2013;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ANCX;Access National Corporation;$540.76M;n/a;Finance;Savings Institutions
ARAY;Accuray Incorporated;$365.2M;2007;Health Care;Medical/Dental Instruments
ACRX;AcelRx Pharmaceuticals, Inc.;$131.6M;2011;Health Care;Major Pharmaceuticals
ACET;Aceto Corporation;$486.73M;n/a;Health Care;Other Pharmaceuticals
AKAO;Achaogen, Inc.;$730.73M;2014;Health Care;Major Pharmaceuticals
ACHV;Achieve Life Sciences, Inc. ;$11.37M;n/a;n/a;n/a
ACHN;Achillion Pharmaceuticals, Inc.;$538.69M;2006;Health Care;Major Pharmaceuticals
ACIW;ACI Worldwide, Inc.;$2.6B;n/a;Technology;Computer Software: Prepackaged Software
ACRS;Aclaris Therapeutics, Inc.;$717.26M;2015;Health Care;Major Pharmaceuticals
ACNB;ACNB Corporation;$171.39M;n/a;Finance;Major Banks
ACOR;Acorda Therapeutics, Inc.;$999.68M;2006;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ;Active Alts Contrarian ETF;n/a;n/a;n/a;n/a
ATVI;Activision Blizzard, Inc;$46.73B;n/a;Technology;Computer Software: Prepackaged Software
ACTA;Actua Corporation;$433.38M;n/a;Technology;EDP Services
ACXM;Acxiom Corporation;$1.99B;n/a;Technology;EDP Services
ADMS;Adamas Pharmaceuticals, Inc.;$384.8M;2014;Health Care;Major Pharmaceuticals
ADMP;Adamis Pharmaceuticals Corporation;$126.79M;n/a;Health Care;Major Pharmaceuticals
ADAP;Adaptimmune Therapeutics plc;$507.76M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADUS;Addus HomeCare Corporation;$403.22M;2009;Health Care;Medical/Nursing Services
AEY;ADDvantage Technologies Group, Inc.;$15.68M;n/a;Consumer Services;Office Equipment/Supplies/Services
IOTS;Adesto Technologies Corporation;$112.53M;2015;Technology;Semiconductors
ADMA;ADMA Biologics Inc;$43.17M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADBE;Adobe Systems Incorporated;$72.88B;1986;Technology;Computer Software: Prepackaged Software
ADOM;ADOMANI, Inc.;$450.97M;2017;Capital Goods;Auto Parts:O.E.M.
ADTN;ADTRAN, Inc.;$1.08B;1994;Public Utilities;Telecommunications Equipment
ADRO;Aduro Biotech, Inc.;$856.44M;2015;Health Care;Major Pharmaceuticals
AAAP;Advanced Accelerator Applications S.A.;$2.16B;2015;Health Care;Major Pharmaceuticals
ADES;Advanced Emissions Solutions, Inc.;$236.1M;n/a;Basic Industries;Major Chemicals
AEIS;Advanced Energy Industries, Inc.;$2.77B;1995;Capital Goods;Industrial Machinery/Components
AMD;Advanced Micro Devices, Inc.;$12.4B;n/a;Technology;Semiconductors
ADXS;Advaxis, Inc.;$264.63M;n/a;Health Care;Major Pharmaceuticals
ADXSW;Advaxis, Inc.;n/a;n/a;Health Care;Major Pharmaceuticals
ADVM;Adverum Biotechnologies, Inc.;$107.17M;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AEGN;Aegion Corp;$673.85M;n/a;Basic Industries;Water Supply
AGLE;Aeglea BioTherapeutics, Inc.;$43.72M;2016;Health Care;Major Pharmaceuticals
AEHR;Aehr Test Systems;$82.5M;1997;Capital Goods;Electrical Products
