Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,;
PIH,1347 Property Insurance Holdings, Inc.,7.311,$43.55M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,;
TURN,180 Degree Capital Corp.,1.69,$52.6M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,;
FLWS,1-800 FLOWERS.COM, Inc.,9.35,$610.88M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,;
FCCY,1st Constitution Bancorp (NJ),17.15,$137.99M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,;
SRCE,1st Source Corporation,48.77,$1.26B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,;
VNET,21Vianet Group, Inc.,4.44,$502.16M,2011,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/vnet,;
TWOU,2U, Inc.,49.54,$2.36B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,;
JOBS,51job, Inc.,55.39,$3.39B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,;
CAFD,8point3 Energy Partners LP,14.47,$1.14B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,;
EGHT,8x8 Inc,13.35,$1.23B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,;
AVHI,A V Homes, Inc.,15.25,$342.45M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,;
SHLM,A. Schulman, Inc.,26.75,$788.18M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,;
AAON,AAON, Inc.,35.2,$1.85B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,;
ABAX,ABAXIS, Inc.,46.57,$1.06B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,;
ABEO,Abeona Therapeutics Inc.,8.05,$324.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,;
ABEOW,Abeona Therapeutics Inc.,4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,;
ABIL,Ability Inc.,0.6651,$17.13M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,;
ABMD,ABIOMED, Inc.,151.01,$6.66B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,;
AXAS,Abraxas Petroleum Corporation,1.7,$278.55M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,;
ACIU,AC Immune SA,6.7,$381.38M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,;
ACIA,Acacia Communications, Inc.,45.35,$1.75B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,;
ACTG,Acacia Research Corporation,3.5,$177.06M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,;
ACHC,Acadia Healthcare Company, Inc.,52.58,$4.62B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,;
ACAD,ACADIA Pharmaceuticals Inc.,30.69,$3.75B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,;
ACST,Acasti Pharma, Inc.,1.29,$18.98M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,;
AXDX,Accelerate Diagnostics, Inc.,25.15,$1.39B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,;
ACCP,Accelerated Pharma, Inc.,n/a,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/accp,;
ACCPW,Accelerated Pharma, Inc.,n/a,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/accpw,;
XLRN,Acceleron Pharma Inc.,35.69,$1.38B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,;
ANCX,Access National Corporation,26.63,$540.76M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,;
ARAY,Accuray Incorporated,4.4,$365.2M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,;
ACRX,AcelRx Pharmaceuticals, Inc.,2.9,$131.6M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,;
ACET,Aceto Corporation,16.17,$486.73M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,;
AKAO,Achaogen, Inc.,17.71,$730.73M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,;
ACHV,Achieve Life Sciences, Inc. ,4.1573,$11.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/achv,;
ACHN,Achillion Pharmaceuticals, Inc.,3.94,$538.69M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,;
ACIW,ACI Worldwide, Inc.,22.02,$2.6B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,;
ACRS,Aclaris Therapeutics, Inc.,26.83,$717.26M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,;
ACNB,ACNB Corporation,28.25,$171.39M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,;
ACOR,Acorda Therapeutics, Inc.,21.425,$999.68M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,;
SQZZ,Active Alts Contrarian ETF,24.87,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,;
ATVI,Activision Blizzard, Inc,62.01,$46.73B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,;
ACTA,Actua Corporation,12.9,$433.38M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,;
ACXM,Acxiom Corporation,25.08,$1.99B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,;
ADMS,Adamas Pharmaceuticals, Inc.,17.21,$384.8M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,;
ADMP,Adamis Pharmaceuticals Corporation,4.6,$126.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,;
ADAP,Adaptimmune Therapeutics plc,5.43,$507.76M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,;
ADUS,Addus HomeCare Corporation,34.75,$403.22M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,;
AEY,ADDvantage Technologies Group, Inc.,1.5389,$15.68M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,;
IOTS,Adesto Technologies Corporation,5.4,$112.53M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,;
ADMA,ADMA Biologics Inc,3.35,$43.17M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,;
ADBE,Adobe Systems Incorporated,147.71,$72.88B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,;
